sub_id,trial,group_cond,txt,img
A08218322NEN84JFHLRO8,19,reappraisal,happiness and sadness for a new life but they l,1
A094612415T5EHTYKXTQ,18,reappraisal,This is a survivor!   Children are resilitant!,1
A10FNV58WR3D0G,11,reappraisal & motivation,This is a healthy newborn being bathed.,1
A10NDRBWGT78R2,1,control,Premature babies are blessings. I had a prema,1
A10WZ8GK49KCJ1,1,control,I feel somewhat sick looking at it,1
A11244HS4DZOVL,5,motivation,That baby is lucky to be alive. It looks bad but it could be worse.,1
A1143GKN5T807X,14,reappraisal & motivation,A new life is amazing.  This precious baby is a gift.,1
A1154EZYFNAZUS,13,reappraisal,This baby is premature. A miracle.,1
A117NCPBK9USJL,6,reappraisal,Born into a dark world. Take me back. I want to go back. AHHHHHHHH,1
A118KQORTQPWYY,1,control,"Oh, the baby looks like he is struggling!",1
A08218322NEN84JFHLRO8,17,reappraisal,hopeless for this person drugs are a beast,2
A094612415T5EHTYKXTQ,8,reappraisal,Drug addiction is horrible on oneself and their families.,2
A10FNV58WR3D0G,3,reappraisal & motivation,This could have helped with sickness from drug addiction.,2
A10NDRBWGT78R2,18,control,"herion kills, its the devil. i hope he gets",2
A10WZ8GK49KCJ1,19,control,This makes me feel sad and sorry for this person on drugs,2
A11244HS4DZOVL,18,motivation,"This could be worse, he could be overdosed and dead. Maybe he needs to make better life choices.",2
A1143GKN5T807X,7,reappraisal & motivation,taking a nap is always a fun time.,2
A1154EZYFNAZUS,11,reappraisal,He appears to be doing drugs. He is smacked out. Sad.,2
A117NCPBK9USJL,3,reappraisal,bruhhhhh i'm lit. wheres my car,2
A118KQORTQPWYY,18,control,i feel lonely for this man and wish he had some friends to help.,2
A08218322NEN84JFHLRO8,6,reappraisal,hopeful yealling to cope with li,3
A094612415T5EHTYKXTQ,17,reappraisal,"If I scream loud enough, maybe I can break the ice.",3
A10FNV58WR3D0G,17,reappraisal & motivation,This could be a dream...lucid dream.,3
A10G8U9316K46H,3,control,"he looks shocked, probably something happend",3
A10LHWALI4BZPC,2,reappraisal,I am not sure if he is in pain or if that's anger. I don't know what this is.,3
A10NDRBWGT78R2,17,control,drowning trying to escape but cant get free,3
A10WZ8GK49KCJ1,17,control,This looks more like art so I don't have any negative feelings,3
A11244HS4DZOVL,12,motivation,I think this is artistic. It makes me think that this person is having a party. I think it looks cool,3
A1143GKN5T807X,5,reappraisal & motivation,This man is screaming at his favorite concert.,3
A1154EZYFNAZUS,19,reappraisal,He looks like he is tripping out. Maybe a little scared.,3
A08218322NEN84JFHLRO8,11,reappraisal,"He looks like he is a lot of pain, sa",4
A094612415T5EHTYKXTQ,13,reappraisal,At least my right eye is better.  The left will heal soon.,4
A10FNV58WR3D0G,7,reappraisal & motivation,This could be makeup from a horror movie.,4
A10G8U9316K46H,2,control,"this is awful, he needs help, he needs love",4
A10LHWALI4BZPC,10,reappraisal,This looks painful and uncomfortable with the puffy eyes.,4
A10NDRBWGT78R2,10,control,old age is enevitable for all of us. Health problems are real,4
A10WZ8GK49KCJ1,12,control,I feel sad at knowing this person appears to be upset,4
A11244HS4DZOVL,7,motivation,"Hopefully he is getting the medical attention that is needed, but it looks like he can still see.",4
A1143GKN5T807X,11,reappraisal & motivation,Looks like she has cream on her eyes to make them better.,4
A1154EZYFNAZUS,5,reappraisal,It looks like a severe infection of the eyes.,4
A08218322NEN84JFHLRO8,4,reappraisal,DId she get beaten I feel sad for her,5
A094612415T5EHTYKXTQ,9,reappraisal,Not sure what happened but her eye looks painful.,5
A10FNV58WR3D0G,12,reappraisal & motivation,She must be a female boxer who just won a fight.,5
A10G8U9316K46H,7,control,"ohmygod this is a little baby, whoever did this need punishtment",5
A10LHWALI4BZPC,6,reappraisal,I hope whoever hit her gets arrested. That is abuse.,5
A10NDRBWGT78R2,14,control,domestic violence makes me angry. Hopeful she gets out soo,5
A10WZ8GK49KCJ1,14,control,Don't really feel anything looking at this,5
A11244HS4DZOVL,16,motivation,I think maybe this person had a trip and fall and hit her face. It does not look too bad overall.,5
A1143GKN5T807X,15,reappraisal & motivation,Sucks to fall down the stairs when you've been drinking.,5
A1154EZYFNAZUS,10,reappraisal,She is beat up. Maybe an accident.,5
A08218322NEN84JFHLRO8,7,reappraisal,sadness for her brutal beating by a stranger,6
A094612415T5EHTYKXTQ,6,reappraisal,Domestic violence is horrible and hard to escape.,6
A10FNV58WR3D0G,10,reappraisal & motivation,This looks like she has been helped in a hospital from a fall.,6
A10G8U9316K46H,9,control,"thats bad, playing with the gun is not good.",6
A10NDRBWGT78R2,5,control,domestic violence is more prevelent than one may think! horri,6
