sub_id,trial,group_cond,txt,img
A11FHRIUGW7NFB,15,control,This baby is a fighter and I am happy the baby is breathing well,1
A11FXG88VL23K5,12,reappraisal,Sad seeing a newborn cry li,1
A11H31X2XJH13N,9,reappraisal & motivation,This baby is so small. I hope it grows up big and strong.,1
A11ILN5YSUDVG8,1,control,I am in awe of the joy of new life.  Seeing this che,1
A11JZFATJVBFN0,4,reappraisal & motivation,The baby fresh in mother stomach. Cry in,1
A11FHRIUGW7NFB,3,control,He looks in distress and I want to provide aide for him or any assistance,2
A11FXG88VL23K5,19,reappraisal,Drug addiction is very sad,2
A11H31X2XJH13N,1,reappraisal & motivation,I am concerned for this individual. I fear they may be unwell.,2
A11ILN5YSUDVG8,2,control,I feel pain and hurt for the person with a drug addiction.  I feel compansion and want to hl,2
A11M4E3N6Q8918,9,motivation,Reach out someone cares,2
A117NCPBK9USJL,1,reappraisal,"He looks trapped and afraid, almost as if on fire.",3
A118KQORTQPWYY,17,control,"not sure what to think or feel, kind of looks excited",3
A11FHRIUGW7NFB,2,control,He is panicking and I am afraid for him,3
A11FXG88VL23K5,3,reappraisal,This guy looks scared I feel bad he must be trapped,3
A11H31X2XJH13N,18,reappraisal & motivation,This person looks trapped by some kind of wall. I wonder what is happening to them.,3
A117NCPBK9USJL,16,reappraisal,Chernobyls effects are still being felt on this day.,4
A118KQORTQPWYY,10,control,"Yuck!  I hope this person is not in pain, I can feel there sadness in thei",4
A11FHRIUGW7NFB,16,control,This elderly person is emotional and my gut reaction at this point is this is taking too long,4
A11FXG88VL23K5,10,reappraisal,This guy has some kind of illness very sad to live like this,4
A11H31X2XJH13N,2,reappraisal & motivation,I am concerned this person has a bad infection. It makes me feel ill.,4
A117NCPBK9USJL,4,reappraisal,i over cooked the turkey again :(,5
A118KQORTQPWYY,14,control,"She looks ver hurt, I feel her pain and hopeful",5
A11FHRIUGW7NFB,10,control,She/he is in emotional pain and I want to cry,5
A11FXG88VL23K5,8,reappraisal,This is very sad seeing a battered woman,5
A11H31X2XJH13N,3,reappraisal & motivation,I fear this person is being abused by someone. This makes me think of victims.,5
A118KQORTQPWYY,5,control,"This lady looks in pain, I feel for her and can imagine the fear she feels",6
A11FHRIUGW7NFB,9,control,This person is suffering and she does not deserve it!,6
A11FXG88VL23K5,11,reappraisal,This is so sad seeing this young lady beaten,6
A11H31X2XJH13N,12,reappraisal & motivation,I fear this person was abused. It makes me worry that it will happen again.,6
A11ILN5YSUDVG8,6,control,This person appears been attacked.  I feel sad and scared for her and want to help,6
A118KQORTQPWYY,15,control,Ouch!  This child is not deserving of this.  My,7
A11FHRIUGW7NFB,17,control,This child is lucky to be alert and I hope the child is moved to a safe place,7
A11FXG88VL23K5,17,reappraisal,This poor kid got hurt probably another war zone,7
A11H31X2XJH13N,10,reappraisal & motivation,It looks like this child was badly injured. I am upset at the person who hurt them.,7
A11ILN5YSUDVG8,7,control,"I fell anger, outrage and extreme sadness for this hurt child.  It hu",7
A11FXG88VL23K5,4,reappraisal,This poor man was attached & out for revenge,8
A11H31X2XJH13N,14,reappraisal & motivation,It looks like this person was in a fight. I hope they he didn't get hurt too bad.,8
A11ILN5YSUDVG8,8,control,"This makes me sad, angry and fearful.  What happened to his person, wondering.",8
A11M4E3N6Q8918,14,motivation,God help,8
A11WIX32EZXV2K,17,motivation,"he got attacked, he needs medical help, so much blood",8
A118KQORTQPWYY,11,control,I am scared.  This man looks serious and evil.,9
A11FHRIUGW7NFB,20,control,Might shoot. Oh well. I am lacking empathy now.,9
A11FXG88VL23K5,16,reappraisal,This just looks like a pic of a man pointing a gun,9
A11H31X2XJH13N,4,reappraisal & motivation,I am scared looking at this image. I don't like seeing a gun pointed at me.,9
A11ILN5YSUDVG8,9,control,This is frightening and scarey and oh so very sad.  I kid with a gun and pointed at t,9
A118KQORTQPWYY,19,control,i am reaaly scared for this lady.  she looks in a lot,10
A11FHRIUGW7NFB,5,control,She is being restrained and I want to scream for help,10
A11FXG88VL23K5,15,reappraisal,This guy is trying to kidnap her & she fighting back,10
A11H31X2XJH13N,7,reappraisal & motivation,It looks like this person is being kidnapped. I fear for their life. I hope they can get away.,10
A11ILN5YSUDVG8,10,control,This is distrubing and scarey and someone needs to step in the help.  Alarmed,10
A118KQORTQPWYY,7,control,He looks like he took a serious blow.  I fear for his safety.,11
A11FHRIUGW7NFB,6,control,He is boxing and receiving a very violent blow not healthy,11
A11FXG88VL23K5,7,reappraisal,Very bad boxing match hope this guy is ok,11
A11H31X2XJH13N,5,reappraisal & motivation,Seeing the blood makes me concerned. I hope this person is okay.,11
A11ILN5YSUDVG8,11,control,"OUch, feels painful and oh so sad that someone does this for a living, boxing is harm",11
A118KQORTQPWYY,20,control,Ohhhhh no!  Yhis looks painful I am feeling anxious,12
A11FHRIUGW7NFB,14,control,This person will definitely die and I wonder if it was done on purpose,12
A11FXG88VL23K5,2,reappraisal,This guy has to be suicidal,12
