sub_id,trial,text,gpt_label
A08218322NEN84JFHLRO8,19,happiness and sadness for a new life but they l,Reappraisal
A094612415T5EHTYKXTQ,18,This is a survivor!   Children are resilitant!,Reappraisal
A10FNV58WR3D0G,11,This is a healthy newborn being bathed.,Reappraisal
A10NDRBWGT78R2,1,Premature babies are blessings. I had a prema,Reappraisal
A10WZ8GK49KCJ1,1,I feel somewhat sick looking at it,Non-reappraisal
A11244HS4DZOVL,5,That baby is lucky to be alive. It looks bad but it could be worse.,Reappraisal
A1143GKN5T807X,14,A new life is amazing.  This precious baby is a gift.,Reappraisal
A1154EZYFNAZUS,13,This baby is premature. A miracle.,Reappraisal
A117NCPBK9USJL,6,Born into a dark world. Take me back. I want to go back. AHHHHHHHH,Non-reappraisal
A118KQORTQPWYY,1,"Oh, the baby looks like he is struggling!",Non-reappraisal
A08218322NEN84JFHLRO8,17,hopeless for this person drugs are a beast,Non-reappraisal
A094612415T5EHTYKXTQ,8,Drug addiction is horrible on oneself and their families.,Non-reappraisal
A10FNV58WR3D0G,3,This could have helped with sickness from drug addiction.,Reappraisal
A10NDRBWGT78R2,18,"herion kills, its the devil. i hope he gets",Non-reappraisal
A10WZ8GK49KCJ1,19,This makes me feel sad and sorry for this person on drugs,Non-reappraisal
A11244HS4DZOVL,18,"This could be worse, he could be overdosed and dead. Maybe he needs to make better life choices.",Reappraisal
A1143GKN5T807X,7,taking a nap is always a fun time.,Reappraisal
A1154EZYFNAZUS,11,He appears to be doing drugs. He is smacked out. Sad.,Non-reappraisal
A117NCPBK9USJL,3,bruhhhhh i'm lit. wheres my car,Non-reappraisal
A118KQORTQPWYY,18,i feel lonely for this man and wish he had some friends to help.,Reappraisal
A08218322NEN84JFHLRO8,6,hopeful yealling to cope with li,Reappraisal
A094612415T5EHTYKXTQ,17,"If I scream loud enough, maybe I can break the ice.",Reappraisal
A10FNV58WR3D0G,17,This could be a dream...lucid dream.,Reappraisal
A10G8U9316K46H,3,"he looks shocked, probably something happend",Non-reappraisal
A10LHWALI4BZPC,2,I am not sure if he is in pain or if that's anger. I don't know what this is.,Non-reappraisal
A10NDRBWGT78R2,17,drowning trying to escape but cant get free,Non-reappraisal
A10WZ8GK49KCJ1,17,This looks more like art so I don't have any negative feelings,Reappraisal
A11244HS4DZOVL,12,I think this is artistic. It makes me think that this person is having a party. I think it looks cool,Reappraisal
A1143GKN5T807X,5,This man is screaming at his favorite concert.,Reappraisal
A1154EZYFNAZUS,19,He looks like he is tripping out. Maybe a little scared.,Non-reappraisal
A08218322NEN84JFHLRO8,11,"He looks like he is a lot of pain, sa",Non-reappraisal
A094612415T5EHTYKXTQ,13,At least my right eye is better.  The left will heal soon.,Reappraisal
A10FNV58WR3D0G,7,This could be makeup from a horror movie.,Reappraisal
A10G8U9316K46H,2,"this is awful, he needs help, he needs love",Non-reappraisal
A10LHWALI4BZPC,10,This looks painful and uncomfortable with the puffy eyes.,Non-reappraisal
A10NDRBWGT78R2,10,old age is enevitable for all of us. Health problems are real,Non-reappraisal
A10WZ8GK49KCJ1,12,I feel sad at knowing this person appears to be upset,Non-reappraisal
A11244HS4DZOVL,7,"Hopefully he is getting the medical attention that is needed, but it looks like he can still see.",Reappraisal
A1143GKN5T807X,11,Looks like she has cream on her eyes to make them better.,Reappraisal
A1154EZYFNAZUS,5,It looks like a severe infection of the eyes.,Non-reappraisal
A08218322NEN84JFHLRO8,4,DId she get beaten I feel sad for her,Non-reappraisal
A094612415T5EHTYKXTQ,9,Not sure what happened but her eye looks painful.,Non-reappraisal
A10FNV58WR3D0G,12,She must be a female boxer who just won a fight.,Reappraisal
A10G8U9316K46H,7,"ohmygod this is a little baby, whoever did this need punishtment",Non-reappraisal
A10LHWALI4BZPC,6,I hope whoever hit her gets arrested. That is abuse.,Reappraisal
A10NDRBWGT78R2,14,domestic violence makes me angry. Hopeful she gets out soo,Reappraisal
A10WZ8GK49KCJ1,14,Don't really feel anything looking at this,Non-reappraisal
A11244HS4DZOVL,16,I think maybe this person had a trip and fall and hit her face. It does not look too bad overall.,Reappraisal
A1143GKN5T807X,15,Sucks to fall down the stairs when you've been drinking.,Reappraisal
A1154EZYFNAZUS,10,She is beat up. Maybe an accident.,Non-reappraisal
A08218322NEN84JFHLRO8,7,sadness for her brutal beating by a stranger,Non-reappraisal
A094612415T5EHTYKXTQ,6,Domestic violence is horrible and hard to escape.,Non-reappraisal
A10FNV58WR3D0G,10,This looks like she has been helped in a hospital from a fall.,Reappraisal
A10G8U9316K46H,9,"thats bad, playing with the gun is not good.",Non-reappraisal
A10NDRBWGT78R2,5,domestic violence is more prevelent than one may think! horri,Non-reappraisal
A10WZ8GK49KCJ1,9,I feel bad. Looks like this person was abused,Non-reappraisal
A11244HS4DZOVL,15,"This person looks like the victim or abuse, but they seem to be getting some kind of help wich is good",Reappraisal
A1143GKN5T807X,8,This Halloween costume is interesting.  Are they,Reappraisal
A1154EZYFNAZUS,3,"Sad, she looks like she has been violently assaulted.",Non-reappraisal
A117NCPBK9USJL,8,holy crap what happened to her?,Non-reappraisal
A08218322NEN84JFHLRO8,10,sadness for this child did a adult beat on them,Non-reappraisal
A094612415T5EHTYKXTQ,19,Scared but alive.,Reappraisal
A10FNV58WR3D0G,20,"This child has finally received help for their condition, bravo!",Reappraisal
A10LHWALI4BZPC,7,The kid looks in pain and sad.,Non-reappraisal
A10NDRBWGT78R2,15,"poor baby, what happened? car accident hopefully not neglect",Reappraisal
A10WZ8GK49KCJ1,13,Upsetting to see and painful to look at,Non-reappraisal
A11244HS4DZOVL,13,"That kid looks hurt, but i'm glad to see someone is there to take care of him.",Reappraisal
A1143GKN5T807X,12,Hopefully this child is receiving the best treatment ever.,Reappraisal
A1154EZYFNAZUS,17,This baby has been injured and they are trying to dress the wound.,Reappraisal
A117NCPBK9USJL,13,"Poor child, I really hope he makes it in life. Very sad. IDK what happened.",Reappraisal
A08218322NEN84JFHLRO8,15,afraid he looks like he is on a rampage to kill,Non-reappraisal
A10FNV58WR3D0G,6,This could be an actor in a horror movie scene.,Reappraisal
A10NDRBWGT78R2,12,this man got fucked up. He looks drunk maybe he got beat up,Non-reappraisal
A10WZ8GK49KCJ1,4,I feel upset but not that bad,Non-reappraisal
