sub_id,trial,text,gpt_label
A11FHRIUGW7NFB,15,This baby is a fighter and I am happy the baby is breathing well,Reappraisal
A11FXG88VL23K5,12,Sad seeing a newborn cry li,Non-reappraisal
A11H31X2XJH13N,9,This baby is so small. I hope it grows up big and strong.,Reappraisal
A11ILN5YSUDVG8,1,I am in awe of the joy of new life.  Seeing this che,Reappraisal
A11JZFATJVBFN0,4,The baby fresh in mother stomach. Cry in,Non-reappraisal
A11FHRIUGW7NFB,3,He looks in distress and I want to provide aide for him or any assistance,Reappraisal
A11FXG88VL23K5,19,Drug addiction is very sad,Non-reappraisal
A11H31X2XJH13N,1,I am concerned for this individual. I fear they may be unwell.,Non-reappraisal
A11ILN5YSUDVG8,2,I feel pain and hurt for the person with a drug addiction.  I feel compansion and want to hl,Non-reappraisal
A11M4E3N6Q8918,9,Reach out someone cares,Reappraisal
A117NCPBK9USJL,1,"He looks trapped and afraid, almost as if on fire.",Non-reappraisal
A118KQORTQPWYY,17,"not sure what to think or feel, kind of looks excited",Reappraisal
A11FHRIUGW7NFB,2,He is panicking and I am afraid for him,Non-reappraisal
A11FXG88VL23K5,3,This guy looks scared I feel bad he must be trapped,Non-reappraisal
A11H31X2XJH13N,18,This person looks trapped by some kind of wall. I wonder what is happening to them.,Non-reappraisal
A117NCPBK9USJL,16,Chernobyls effects are still being felt on this day.,Non-reappraisal
A118KQORTQPWYY,10,"Yuck!  I hope this person is not in pain, I can feel there sadness in thei",Non-reappraisal
A11FHRIUGW7NFB,16,This elderly person is emotional and my gut reaction at this point is this is taking too long,Non-reappraisal
A11FXG88VL23K5,10,This guy has some kind of illness very sad to live like this,Non-reappraisal
A11H31X2XJH13N,2,I am concerned this person has a bad infection. It makes me feel ill.,Non-reappraisal
A117NCPBK9USJL,4,i over cooked the turkey again :(,Non-reappraisal
A118KQORTQPWYY,14,"She looks ver hurt, I feel her pain and hopeful",Reappraisal
A11FHRIUGW7NFB,10,She/he is in emotional pain and I want to cry,Non-reappraisal
A11FXG88VL23K5,8,This is very sad seeing a battered woman,Non-reappraisal
A11H31X2XJH13N,3,I fear this person is being abused by someone. This makes me think of victims.,Non-reappraisal
A118KQORTQPWYY,5,"This lady looks in pain, I feel for her and can imagine the fear she feels",Non-reappraisal
A11FHRIUGW7NFB,9,This person is suffering and she does not deserve it!,Non-reappraisal
A11FXG88VL23K5,11,This is so sad seeing this young lady beaten,Non-reappraisal
A11H31X2XJH13N,12,I fear this person was abused. It makes me worry that it will happen again.,Non-reappraisal
A11ILN5YSUDVG8,6,This person appears been attacked.  I feel sad and scared for her and want to help,Non-reappraisal
A118KQORTQPWYY,15,Ouch!  This child is not deserving of this.  My,Non-reappraisal
A11FHRIUGW7NFB,17,This child is lucky to be alert and I hope the child is moved to a safe place,Reappraisal
A11FXG88VL23K5,17,This poor kid got hurt probably another war zone,Non-reappraisal
A11H31X2XJH13N,10,It looks like this child was badly injured. I am upset at the person who hurt them.,Non-reappraisal
A11ILN5YSUDVG8,7,"I fell anger, outrage and extreme sadness for this hurt child.  It hu",Non-reappraisal
A11FXG88VL23K5,4,This poor man was attached & out for revenge,Reappraisal
A11H31X2XJH13N,14,It looks like this person was in a fight. I hope they he didn't get hurt too bad.,Reappraisal
A11ILN5YSUDVG8,8,"This makes me sad, angry and fearful.  What happened to his person, wondering.",Non-reappraisal
A11M4E3N6Q8918,14,God help,Non-reappraisal
A11WIX32EZXV2K,17,"he got attacked, he needs medical help, so much blood",Non-reappraisal
A118KQORTQPWYY,11,I am scared.  This man looks serious and evil.,Non-reappraisal
A11FHRIUGW7NFB,20,Might shoot. Oh well. I am lacking empathy now.,Non-reappraisal
A11FXG88VL23K5,16,This just looks like a pic of a man pointing a gun,Non-reappraisal
A11H31X2XJH13N,4,I am scared looking at this image. I don't like seeing a gun pointed at me.,Non-reappraisal
A11ILN5YSUDVG8,9,This is frightening and scarey and oh so very sad.  I kid with a gun and pointed at t,Non-reappraisal
A118KQORTQPWYY,19,i am reaaly scared for this lady.  she looks in a lot,Non-reappraisal
A11FHRIUGW7NFB,5,She is being restrained and I want to scream for help,Non-reappraisal
A11FXG88VL23K5,15,This guy is trying to kidnap her & she fighting back,Non-reappraisal
A11H31X2XJH13N,7,It looks like this person is being kidnapped. I fear for their life. I hope they can get away.,Non-reappraisal
A11ILN5YSUDVG8,10,This is distrubing and scarey and someone needs to step in the help.  Alarmed,Non-reappraisal
A118KQORTQPWYY,7,He looks like he took a serious blow.  I fear for his safety.,Non-reappraisal
A11FHRIUGW7NFB,6,He is boxing and receiving a very violent blow not healthy,Non-reappraisal
A11FXG88VL23K5,7,Very bad boxing match hope this guy is ok,Non-reappraisal
A11H31X2XJH13N,5,Seeing the blood makes me concerned. I hope this person is okay.,Non-reappraisal
A11ILN5YSUDVG8,11,"OUch, feels painful and oh so sad that someone does this for a living, boxing is harm",Non-reappraisal
A118KQORTQPWYY,20,Ohhhhh no!  Yhis looks painful I am feeling anxious,Non-reappraisal
A11FHRIUGW7NFB,14,This person will definitely die and I wonder if it was done on purpose,Non-reappraisal
A11FXG88VL23K5,2,This guy has to be suicidal,Non-reappraisal
A11H31X2XJH13N,19,This makes me feel scared. I fear the person will burn to death.,Non-reappraisal
A11ILN5YSUDVG8,12,"This is scarey, and looks painful but might be a stunt.  I am afraid for the",Reappraisal
A118KQORTQPWYY,16,OMG!  i physically hurt for this man,Non-reappraisal
A11FHRIUGW7NFB,4,This guy is upset and he looks uncomfortable and wanting a change,Reappraisal
A11FXG88VL23K5,18,I don’t know if this is a stunt or not but weird and makes no sense,Non-reappraisal
A11H31X2XJH13N,6,Gross! I wonder how this person got their lip to do that.,Non-reappraisal
A11ILN5YSUDVG8,13,Looks painful and like a tribal ritual or maybe a punishme,Non-reappraisal
A117NCPBK9USJL,12,"very scary, i don't like planes. where's dude's shirt?",Non-reappraisal
A118KQORTQPWYY,4,"I am fearful for these people, they look in trouble",Non-reappraisal
A11FHRIUGW7NFB,12,These people are lucky to be alive but traumatized,Reappraisal
A11FXG88VL23K5,6,Rescue after a plane crash hope all survived and are safe,Reappraisal
A11H31X2XJH13N,11,It looks like the plane crashed. I hope everyone survived.,Reappraisal
A118KQORTQPWYY,3,"This is disastrous.  Those brave workers are incredible, b",Reappraisal
A11FHRIUGW7NFB,18,These people are working. Nothing wrong with that. And you guys have plenty of good data and need to,Reappraisal
A11FXG88VL23K5,5,Working hard getting rid of a dangerous fire stay safe,Reappraisal
A11H31X2XJH13N,17,This looks very dangerous. The people also make it look haunting.,Non-reappraisal
A11ILN5YSUDVG8,15,"Scared, concerned, fearful.  What are they doing, must be dangerous!  S",Non-reappraisal
A11FHRIUGW7NFB,19,Burying a body. Sad. Be more respectful of our time!!!,Non-reappraisal
A11FXG88VL23K5,13,Couldn’t afford a coffin? Terrible,Non-reappraisal
A11H31X2XJH13N,15,It looks like this man is hiding a body. I hope they get caught.,Non-reappraisal
A11ILN5YSUDVG8,16,Very sad and frightening about what happened and that had to be buried in this way,Non-reappraisal
A11M4E3N6Q8918,17,A proper burial,Reappraisal
A118KQORTQPWYY,6,"This man looks dead or severly hurt, I am nervosu for his fate",Non-reappraisal
A11FHRIUGW7NFB,13,This person is deceased and I am shocked at how the others are just standing there,Non-reappraisal
A11FXG88VL23K5,9,O my this is brutal and everyone is just standing there,Non-reappraisal
A11H31X2XJH13N,8,It looks like this person was killed. I am very angry as I look at this.,Non-reappraisal
A11ILN5YSUDVG8,17,"Very distrubing and sad to see someone killed and dead in a street, upset!",Non-reappraisal
A117NCPBK9USJL,11,"man this hurts, I hate seeing kids in bad situations",Non-reappraisal
A118KQORTQPWYY,2,These boys look like they are in trouble and have been playing hard.,Non-reappraisal
A11FHRIUGW7NFB,8,I feel awful for these children and want to rescue them,Non-reappraisal
A11FXG88VL23K5,1,I feel bad that these kids have to endure wa,Non-reappraisal
A11H31X2XJH13N,16,This children look poor and dirty. They need food and a bath.,Non-reappraisal
A11FHRIUGW7NFB,7,I am upset because there are way too many road fatalities in this country,Non-reappraisal
A11FXG88VL23K5,14,Afraid this person didn’t survive,Non-reappraisal
A11H31X2XJH13N,20,This car crash looks fatal. It makes me sad for the people involved and their families.,Non-reappraisal
A11ILN5YSUDVG8,19,Crashes scare me and make me very sad and upset.  Feel so sorry for the people here,Non-reappraisal
A11JZFATJVBFN0,1,The accident is tge,Non-reappraisal
A118KQORTQPWYY,9,I am nervous for this lady and hope she will end up ok,Reappraisal
A11FHRIUGW7NFB,11,This person could be in cardiac arrest and might not live,Non-reappraisal
A11FXG88VL23K5,20,Heroes rescuing a woman is great,Reappraisal
A11H31X2XJH13N,13,These firefighters are saving that person's life. I worry it may already be too late.,Non-reappraisal
A11ILN5YSUDVG8,20,"This is frightening and makes me upset and scared, Hope the lady is alright",Non-reappraisal
