sub_id,trial,txt,img
A08218322NEN84JFHLRO8,1,I feel fear for this man in this whole is he dead,16
A08218322NEN84JFHLRO8,2,I feel sad and afraid for this man life. DId he get hit,17
A08218322NEN84JFHLRO8,3,FEar for my life,9
A08218322NEN84JFHLRO8,4,DId she get beaten I feel sad for her,5
A08218322NEN84JFHLRO8,5,Pain why would do this for vanity or your culture,13
A08218322NEN84JFHLRO8,6,hopeful yealling to cope with li,3
A08218322NEN84JFHLRO8,7,sadness for her brutal beating by a stranger,6
A08218322NEN84JFHLRO8,8,fear of being burned up int his deadly fire,15
A08218322NEN84JFHLRO8,9,san and afraid for the lives of the people who were in this car,19
A08218322NEN84JFHLRO8,10,sadness for this child did a adult beat on them,7
A08218322NEN84JFHLRO8,11,"He looks like he is a lot of pain, sa",4
A08218322NEN84JFHLRO8,12,angure for their life. a kidnapping,10
A08218322NEN84JFHLRO8,13,sadness they look homeless or funny being bad,18
A08218322NEN84JFHLRO8,14,"scarey for this persons life, i hope this is a stunt",12
A08218322NEN84JFHLRO8,15,afraid he looks like he is on a rampage to kill,8
A08218322NEN84JFHLRO8,16,fear and sadness for the lives of these people in,20
A08218322NEN84JFHLRO8,17,hopeless for this person drugs are a beast,2
A08218322NEN84JFHLRO8,18,fun watching a fight on tv ha,11
A08218322NEN84JFHLRO8,19,happiness and sadness for a new life but they l,1
A08218322NEN84JFHLRO8,20,fear and sadness for these peoples lives,14
A094612415T5EHTYKXTQ,2,Children are always the suffers of war.,18
A094612415T5EHTYKXTQ,3,American heroes.  They risk their lives eve,20
A094612415T5EHTYKXTQ,4,Horrible and scary.,14
A094612415T5EHTYKXTQ,5,This is what will kill us all.  Poisonous!,15
A094612415T5EHTYKXTQ,6,Domestic violence is horrible and hard to escape.,6
A094612415T5EHTYKXTQ,7,Definitely scary and unpredictable to be faced with such anger.,9
A094612415T5EHTYKXTQ,8,Drug addiction is horrible on oneself and their families.,2
A094612415T5EHTYKXTQ,9,Not sure what happened but her eye looks painful.,5
A094612415T5EHTYKXTQ,10,This makes me want to chug up breakfast.  The dog licking the blood.,17
A094612415T5EHTYKXTQ,11,Those classes paid off.,10
A094612415T5EHTYKXTQ,12,"If we work as a team, we can clean this up in no time.",19
A094612415T5EHTYKXTQ,13,At least my right eye is better.  The left will heal soon.,4
A094612415T5EHTYKXTQ,14,I took this punch like a pro.  It only hurt for a few days.,11
A094612415T5EHTYKXTQ,15,I'm going to regret that last beer.,13
A094612415T5EHTYKXTQ,16,"Hopefully, he was wearing protective gear.",12
A094612415T5EHTYKXTQ,17,"If I scream loud enough, maybe I can break the ice.",3
A094612415T5EHTYKXTQ,18,This is a survivor!   Children are resilitant!,1
A094612415T5EHTYKXTQ,19,Scared but alive.,7
A094612415T5EHTYKXTQ,20,This is what is normal in that land.,16
A10FNV58WR3D0G,1,This could be the cultural way to bury their dea,16
A10FNV58WR3D0G,2,This could be from working to earn money.,18
A10FNV58WR3D0G,3,This could have helped with sickness from drug addiction.,2
A10FNV58WR3D0G,4,This is a clean-up from a chemical fire to help th,15
A10FNV58WR3D0G,5,This is most likely a stunt.,12
A10FNV58WR3D0G,6,This could be an actor in a horror movie scene.,8
A10FNV58WR3D0G,7,This could be makeup from a horror movie.,4
A10FNV58WR3D0G,8,This could be a self-defense video.,10
A10FNV58WR3D0G,9,"This is a scene from the movie ""raging bull.""",11
A10FNV58WR3D0G,10,This looks like she has been helped in a hospital from a fall.,6
A10FNV58WR3D0G,11,This is a healthy newborn being bathed.,1
A10FNV58WR3D0G,12,She must be a female boxer who just won a fight.,5
A10FNV58WR3D0G,13,This is traditional jewelry for the men of this tribe.,13
A10FNV58WR3D0G,14,His family can rest now that they have sen him,17
A10FNV58WR3D0G,15,"The woman has been saved from sure death, this is a happy",20
A10FNV58WR3D0G,16,This is a close-up from a scene in a crime movie...harmless.,9
A10FNV58WR3D0G,17,This could be a dream...lucid dream.,3
A10FNV58WR3D0G,18,Maybe the passenger(s) survived.,19
A10FNV58WR3D0G,19,"Amazing, everyone survived!",14
A10FNV58WR3D0G,20,"This child has finally received help for their condition, bravo!",7
A10G8U9316K46H,1,this looks pretty painful and the baby looks sad,18
A10G8U9316K46H,2,"this is awful, he needs help, he needs love",4
A10G8U9316K46H,3,"he looks shocked, probably something happend",3
A10G8U9316K46H,4,"aw i feel bad for them, that looks painful",10
A10G8U9316K46H,5,"they look abused, hope they find help",11
A10G8U9316K46H,6,"this is seriously pretty awful, feeling sad",15
A10G8U9316K46H,7,"ohmygod this is a little baby, whoever did this need punishtment",5
A10G8U9316K46H,8,"this is very disturbing, hope they are doing fine.",14
A10G8U9316K46H,9,"thats bad, playing with the gun is not good.",6
A10G8U9316K46H,10,"this looks like kidnapping, hope they are okay now",13
A10LHWALI4BZPC,1,It looks like a plane crash. Hopefully everyone is okay and nobody died.,14
A10LHWALI4BZPC,2,I am not sure if he is in pain or if that's anger. I don't know what this is.,3
A10LHWALI4BZPC,3,I would be very scared to have this pointed at me.,9
A10LHWALI4BZPC,4,Poor family and person. He was clearly murdered.,17
A10LHWALI4BZPC,5,"She looks dead, they weren't able to save her in time.",20
A10LHWALI4BZPC,6,I hope whoever hit her gets arrested. That is abuse.,5
A10LHWALI4BZPC,7,The kid looks in pain and sad.,7
A10LHWALI4BZPC,8,"Is this war, or were they trespassing in a mine?",18
A10LHWALI4BZPC,9,"I hope he's wearing a firesuit, otherwise this is very painful and deadly.",12
A10LHWALI4BZPC,10,This looks painful and uncomfortable with the puffy eyes.,4
A10NDRBWGT78R2,1,Premature babies are blessings. I had a prema,1
A10NDRBWGT78R2,2,bad kids in the neighborhood. Need a bath maybe neglected,18
A10NDRBWGT78R2,3,"natural disaster, bush fires are scary horrible",15
A10NDRBWGT78R2,4,plane crash are scary. reminds me of 9/11 maybe,14
A10NDRBWGT78R2,5,domestic violence is more prevelent than one may think! horri,6
A10NDRBWGT78R2,6,finding a murdered person on the side of the road,17
A10NDRBWGT78R2,7,boxing matches are exciting but scary thriller also. hurt,11
A10NDRBWGT78R2,8,burrying a dead body back in the day. never forget this pt,16
A10NDRBWGT78R2,9,firefighters face alot of stress saving people hero,20
A10NDRBWGT78R2,10,old age is enevitable for all of us. Health problems are real,4
A10NDRBWGT78R2,11,held up at gun point. duck run or hide,9
A10NDRBWGT78R2,12,this man got fucked up. He looks drunk maybe he got beat up,8
A10NDRBWGT78R2,13,"horrible, car accidents kill. drunk driver. maybe drugs involve",19
A10NDRBWGT78R2,14,domestic violence makes me angry. Hopeful she gets out soo,5
A10NDRBWGT78R2,15,"poor baby, what happened? car accident hopefully not neglect",7
A10NDRBWGT78R2,16,cultures are all unique. Possibly a traditional cerem,13
A10NDRBWGT78R2,17,drowning trying to escape but cant get free,3
A10NDRBWGT78R2,18,"herion kills, its the devil. i hope he gets",2
A10NDRBWGT78R2,19,attempting kidnapping. always was my biggest fear growing up,10
A10NDRBWGT78R2,20,fire stop drop and roll get off that bike fast buddy,12
A10WZ8GK49KCJ1,1,I feel somewhat sick looking at it,1
A10WZ8GK49KCJ1,2,I imagine what it would be like to be looking at this in real life. How scared i would be,9
A10WZ8GK49KCJ1,3,I feel sad knowing that people would be killed or injured,19
A10WZ8GK49KCJ1,4,I feel upset but not that bad,8
A10WZ8GK49KCJ1,5,This looks frightening to be around,15
A10WZ8GK49KCJ1,6,This is hard to look at. I can't imagine what that person feels like,12
A10WZ8GK49KCJ1,7,This is very upsetting to see. I feel terrible seeing this,20
A10WZ8GK49KCJ1,8,This is strange but not really upsetting. It looks intentional,13
A10WZ8GK49KCJ1,9,I feel bad. Looks like this person was abused,6
A10WZ8GK49KCJ1,10,I don't feel much of anything. Hard to see what's going on,10
A10WZ8GK49KCJ1,11,I feel sad knowing these kids are going through a tough time,18
A10WZ8GK49KCJ1,12,I feel sad at knowing this person appears to be upset,4
A10WZ8GK49KCJ1,13,Upsetting to see and painful to look at,7
A10WZ8GK49KCJ1,14,Don't really feel anything looking at this,5
A10WZ8GK49KCJ1,15,Very sick looking at this. Horrible image to see,17
A10WZ8GK49KCJ1,16,"I feel bad, someone had clearly died and being burried",16
A10WZ8GK49KCJ1,17,This looks more like art so I don't have any negative feelings,3
A10WZ8GK49KCJ1,18,I feel terrible as this looks like a deadly airplane crash,14
A10WZ8GK49KCJ1,19,This makes me feel sad and sorry for this person on drugs,2
A10WZ8GK49KCJ1,20,"I feel bad for the guy getting hit, but that's boxing",11
A11244HS4DZOVL,1,I think this children will have a hard life but it can get,18
A11244HS4DZOVL,2,I think this man is having a bad day but lucky to be alive.,8
A11244HS4DZOVL,3,This looks terrible and painful. I would not want to be this guy. But maybe it is a planned stunt.,12
A11244HS4DZOVL,4,"Maybe this is a training exercise and it isn't real, but it does look bad.",20
A11244HS4DZOVL,5,That baby is lucky to be alive. It looks bad but it could be worse.,1
A11244HS4DZOVL,6,"It looks like a bad hit, but it looks like a planned event so they knew what the risks were for participating.",11
A11244HS4DZOVL,7,"Hopefully he is getting the medical attention that is needed, but it looks like he can still see.",4
A11244HS4DZOVL,8,"Good thing rescue workers are there and their is no body, hopefully everyone turned out okay.",19
A11244HS4DZOVL,9,This is a cool image actually. Nobody is hurt or injured.,9
A11244HS4DZOVL,10,It looks like they could be playing or fake wrestling. Maybe its not what it appears to be.,10
A11244HS4DZOVL,11,"I think that this could be a set and not real, but if it is I feel sad for this man. At least he can be burried.",16
A11244HS4DZOVL,12,I think this is artistic. It makes me think that this person is having a party. I think it looks cool,3
A11244HS4DZOVL,13,"That kid looks hurt, but i'm glad to see someone is there to take care of him.",7
A11244HS4DZOVL,14,This looks like a movie set. At least people have protective gear and seem to be doing okay.,15
A11244HS4DZOVL,15,"This person looks like the victim or abuse, but they seem to be getting some kind of help wich is good",6
A11244HS4DZOVL,16,I think maybe this person had a trip and fall and hit her face. It does not look too bad overall.,5
A11244HS4DZOVL,17,I think this is a bad image. They need to get him help. Maybe it was an accident.,17
A11244HS4DZOVL,18,"This could be worse, he could be overdosed and dead. Maybe he needs to make better life choices.",2
A11244HS4DZOVL,19,It looks like people were able to escape from this plane. Hopefully nobody died.,14
A11244HS4DZOVL,20,"This is disgusting. A terrible punishment, but he seems okay for the most part.",13
A1143GKN5T807X,1,This man is saving his family the expense of a funeral.,16
A1143GKN5T807X,2,It looks as if everyone got out ok.  I do not see any injured people.,19
A1143GKN5T807X,3,They are playfully wrestling...big brothers are so fun.,10
