sub_id,trial,text,gpt_label
A08218322NEN84JFHLRO8,1,I feel fear for this man in this whole is he dead,Non-reappraisal
A08218322NEN84JFHLRO8,2,I feel sad and afraid for this man life. DId he get hit,Non-reappraisal
A08218322NEN84JFHLRO8,3,FEar for my life,Non-reappraisal
A08218322NEN84JFHLRO8,4,DId she get beaten I feel sad for her,Non-reappraisal
A08218322NEN84JFHLRO8,5,Pain why would do this for vanity or your culture,Non-reappraisal
A08218322NEN84JFHLRO8,6,hopeful yealling to cope with li,Reappraisal
A08218322NEN84JFHLRO8,7,sadness for her brutal beating by a stranger,Non-reappraisal
A08218322NEN84JFHLRO8,8,fear of being burned up int his deadly fire,Non-reappraisal
A08218322NEN84JFHLRO8,9,san and afraid for the lives of the people who were in this car,Non-reappraisal
A08218322NEN84JFHLRO8,10,sadness for this child did a adult beat on them,Non-reappraisal
A08218322NEN84JFHLRO8,11,"He looks like he is a lot of pain, sa",Non-reappraisal
A08218322NEN84JFHLRO8,12,angure for their life. a kidnapping,Non-reappraisal
A08218322NEN84JFHLRO8,13,sadness they look homeless or funny being bad,Non-reappraisal
A08218322NEN84JFHLRO8,14,"scarey for this persons life, i hope this is a stunt",Reappraisal
A08218322NEN84JFHLRO8,15,afraid he looks like he is on a rampage to kill,Non-reappraisal
A08218322NEN84JFHLRO8,16,fear and sadness for the lives of these people in,Non-reappraisal
A08218322NEN84JFHLRO8,17,hopeless for this person drugs are a beast,Non-reappraisal
A08218322NEN84JFHLRO8,18,fun watching a fight on tv ha,Reappraisal
A08218322NEN84JFHLRO8,19,happiness and sadness for a new life but they l,Reappraisal
A08218322NEN84JFHLRO8,20,fear and sadness for these peoples lives,Non-reappraisal
A094612415T5EHTYKXTQ,2,Children are always the suffers of war.,Non-reappraisal
A094612415T5EHTYKXTQ,3,American heroes.  They risk their lives eve,Reappraisal
A094612415T5EHTYKXTQ,4,Horrible and scary.,Non-reappraisal
A094612415T5EHTYKXTQ,5,This is what will kill us all.  Poisonous!,Non-reappraisal
A094612415T5EHTYKXTQ,6,Domestic violence is horrible and hard to escape.,Non-reappraisal
A094612415T5EHTYKXTQ,7,Definitely scary and unpredictable to be faced with such anger.,Non-reappraisal
A094612415T5EHTYKXTQ,8,Drug addiction is horrible on oneself and their families.,Non-reappraisal
A094612415T5EHTYKXTQ,9,Not sure what happened but her eye looks painful.,Non-reappraisal
A094612415T5EHTYKXTQ,10,This makes me want to chug up breakfast.  The dog licking the blood.,Non-reappraisal
A094612415T5EHTYKXTQ,11,Those classes paid off.,Reappraisal
A094612415T5EHTYKXTQ,12,"If we work as a team, we can clean this up in no time.",Reappraisal
A094612415T5EHTYKXTQ,13,At least my right eye is better.  The left will heal soon.,Reappraisal
A094612415T5EHTYKXTQ,14,I took this punch like a pro.  It only hurt for a few days.,Reappraisal
A094612415T5EHTYKXTQ,15,I'm going to regret that last beer.,Non-reappraisal
A094612415T5EHTYKXTQ,16,"Hopefully, he was wearing protective gear.",Reappraisal
A094612415T5EHTYKXTQ,17,"If I scream loud enough, maybe I can break the ice.",Reappraisal
A094612415T5EHTYKXTQ,18,This is a survivor!   Children are resilitant!,Reappraisal
A094612415T5EHTYKXTQ,19,Scared but alive.,Reappraisal
A094612415T5EHTYKXTQ,20,This is what is normal in that land.,Reappraisal
A10FNV58WR3D0G,1,This could be the cultural way to bury their dea,Reappraisal
A10FNV58WR3D0G,2,This could be from working to earn money.,Reappraisal
A10FNV58WR3D0G,3,This could have helped with sickness from drug addiction.,Reappraisal
A10FNV58WR3D0G,4,This is a clean-up from a chemical fire to help th,Reappraisal
A10FNV58WR3D0G,5,This is most likely a stunt.,Reappraisal
A10FNV58WR3D0G,6,This could be an actor in a horror movie scene.,Reappraisal
A10FNV58WR3D0G,7,This could be makeup from a horror movie.,Reappraisal
A10FNV58WR3D0G,8,This could be a self-defense video.,Reappraisal
A10FNV58WR3D0G,9,"This is a scene from the movie ""raging bull.""",Reappraisal
A10FNV58WR3D0G,10,This looks like she has been helped in a hospital from a fall.,Reappraisal
A10FNV58WR3D0G,11,This is a healthy newborn being bathed.,Reappraisal
A10FNV58WR3D0G,12,She must be a female boxer who just won a fight.,Reappraisal
A10FNV58WR3D0G,13,This is traditional jewelry for the men of this tribe.,Reappraisal
A10FNV58WR3D0G,14,His family can rest now that they have sen him,Reappraisal
A10FNV58WR3D0G,15,"The woman has been saved from sure death, this is a happy",Reappraisal
A10FNV58WR3D0G,16,This is a close-up from a scene in a crime movie...harmless.,Reappraisal
A10FNV58WR3D0G,17,This could be a dream...lucid dream.,Reappraisal
A10FNV58WR3D0G,18,Maybe the passenger(s) survived.,Reappraisal
A10FNV58WR3D0G,19,"Amazing, everyone survived!",Reappraisal
A10FNV58WR3D0G,20,"This child has finally received help for their condition, bravo!",Reappraisal
A10G8U9316K46H,1,this looks pretty painful and the baby looks sad,Non-reappraisal
A10G8U9316K46H,2,"this is awful, he needs help, he needs love",Non-reappraisal
A10G8U9316K46H,3,"he looks shocked, probably something happend",Non-reappraisal
A10G8U9316K46H,4,"aw i feel bad for them, that looks painful",Non-reappraisal
A10G8U9316K46H,5,"they look abused, hope they find help",Reappraisal
A10G8U9316K46H,6,"this is seriously pretty awful, feeling sad",Non-reappraisal
A10G8U9316K46H,7,"ohmygod this is a little baby, whoever did this need punishtment",Non-reappraisal
A10G8U9316K46H,8,"this is very disturbing, hope they are doing fine.",Reappraisal
A10G8U9316K46H,9,"thats bad, playing with the gun is not good.",Non-reappraisal
A10G8U9316K46H,10,"this looks like kidnapping, hope they are okay now",Reappraisal
A10LHWALI4BZPC,1,It looks like a plane crash. Hopefully everyone is okay and nobody died.,Reappraisal
A10LHWALI4BZPC,2,I am not sure if he is in pain or if that's anger. I don't know what this is.,Non-reappraisal
A10LHWALI4BZPC,3,I would be very scared to have this pointed at me.,Non-reappraisal
A10LHWALI4BZPC,4,Poor family and person. He was clearly murdered.,Non-reappraisal
A10LHWALI4BZPC,5,"She looks dead, they weren't able to save her in time.",Non-reappraisal
A10LHWALI4BZPC,6,I hope whoever hit her gets arrested. That is abuse.,Non-reappraisal
A10LHWALI4BZPC,7,The kid looks in pain and sad.,Non-reappraisal
A10LHWALI4BZPC,8,"Is this war, or were they trespassing in a mine?",Reappraisal
A10LHWALI4BZPC,9,"I hope he's wearing a firesuit, otherwise this is very painful and deadly.",Reappraisal
A10LHWALI4BZPC,10,This looks painful and uncomfortable with the puffy eyes.,Non-reappraisal
A10NDRBWGT78R2,1,Premature babies are blessings. I had a prema,Reappraisal
A10NDRBWGT78R2,2,bad kids in the neighborhood. Need a bath maybe neglected,Non-reappraisal
A10NDRBWGT78R2,3,"natural disaster, bush fires are scary horrible",Non-reappraisal
A10NDRBWGT78R2,4,plane crash are scary. reminds me of 9/11 maybe,Non-reappraisal
A10NDRBWGT78R2,5,domestic violence is more prevelent than one may think! horri,Non-reappraisal
A10NDRBWGT78R2,6,finding a murdered person on the side of the road,Non-reappraisal
A10NDRBWGT78R2,7,boxing matches are exciting but scary thriller also. hurt,Non-reappraisal
A10NDRBWGT78R2,8,burrying a dead body back in the day. never forget this pt,Non-reappraisal
A10NDRBWGT78R2,9,firefighters face alot of stress saving people hero,Reappraisal
A10NDRBWGT78R2,10,old age is enevitable for all of us. Health problems are real,Non-reappraisal
A10NDRBWGT78R2,11,held up at gun point. duck run or hide,Non-reappraisal
A10NDRBWGT78R2,12,this man got fucked up. He looks drunk maybe he got beat up,Non-reappraisal
A10NDRBWGT78R2,13,"horrible, car accidents kill. drunk driver. maybe drugs involve",Non-reappraisal
A10NDRBWGT78R2,14,domestic violence makes me angry. Hopeful she gets out soo,Reappraisal
A10NDRBWGT78R2,15,"poor baby, what happened? car accident hopefully not neglect",Reappraisal
A10NDRBWGT78R2,16,cultures are all unique. Possibly a traditional cerem,Reappraisal
A10NDRBWGT78R2,17,drowning trying to escape but cant get free,Non-reappraisal
A10NDRBWGT78R2,18,"herion kills, its the devil. i hope he gets",Non-reappraisal
A10NDRBWGT78R2,19,attempting kidnapping. always was my biggest fear growing up,Non-reappraisal
A10NDRBWGT78R2,20,fire stop drop and roll get off that bike fast buddy,Non-reappraisal
A10WZ8GK49KCJ1,1,I feel somewhat sick looking at it,Non-reappraisal
A10WZ8GK49KCJ1,2,I imagine what it would be like to be looking at this in real life. How scared i would be,Non-reappraisal
A10WZ8GK49KCJ1,3,I feel sad knowing that people would be killed or injured,Non-reappraisal
A10WZ8GK49KCJ1,4,I feel upset but not that bad,Non-reappraisal
A10WZ8GK49KCJ1,5,This looks frightening to be around,Non-reappraisal
A10WZ8GK49KCJ1,6,This is hard to look at. I can't imagine what that person feels like,Non-reappraisal
A10WZ8GK49KCJ1,7,This is very upsetting to see. I feel terrible seeing this,Non-reappraisal
A10WZ8GK49KCJ1,8,This is strange but not really upsetting. It looks intentional,Reappraisal
A10WZ8GK49KCJ1,9,I feel bad. Looks like this person was abused,Non-reappraisal
