sub_id,sex,age,edu,polAffil,group_cond,ind_cond,img_order,solo,complete,RegAtmpt_Q01,RegAtmpt_Q02,RegAtmpt_Q03,EmoReg_Q01,EmoReg_Q02,EmoReg_Q03,EmoReg_Q04,EmoReg_Q05,EmoReg_Q06,EmoRegAttmpt_DO,EmoRegTechnic_DO,conf1,conf2,conf3,conf4_r,conf5,conf6,Conformity_DO,EI_sea1,EI_sea2,EI_sea3,EI_sea4,EI_oea1,EI_oea2,EI_oea3,EI_oea4,EI_uoe1,EI_uoe2,EI_uoe3,EI_uoe4,EI_roe1,EI_roe2,EI_roe3,EI_roe4,EI_DO,groupID,studyID,attention_check,exp_i,trial,txt,rate,exp_i_dup,img,img_dup,img_dup_dup,grp_method,grp_goal,subgrp
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,1,I feel fear for this man in this whole is he dead,9,16,16,16,16,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,2,I feel sad and afraid for this man life. DId he get hit,9,16,17,17,17,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,3,FEar for my life,6,16,9,9,9,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,4,DId she get beaten I feel sad for her,7,16,5,5,5,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,5,Pain why would do this for vanity or your culture,8,16,13,13,13,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,6,hopeful yealling to cope with li,6,16,3,3,3,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,7,sadness for her brutal beating by a stranger,7,16,6,6,6,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,8,fear of being burned up int his deadly fire,8,16,15,15,15,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,9,san and afraid for the lives of the people who were in this car,8,16,19,19,19,reappraisal,non_motivated,control
A08218322NEN84JFHLRO8,female,41,Associate’s degree or some college courses,Moderate,reapp,control,1617951336151974e15,FALSE,completed,To a very high degree,To a very low degree,Not at all,To a very high degree,To a high degree,To some degree,To some degree,To a high degree,To a low degree,NA,NA,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,NA,id-uwffo-1-3,id-uwffo-1,NA,16,10,sadness for this child did a adult beat on them,8,16,7,7,7,reappraisal,non_motivated,control
