"sub_id","sex","age","edu","polAffil","group_cond","ind_cond","img_order","solo","attention","complete","RegAtmpt_Q01","RegAtmpt_Q02","RegAtmpt_Q03","EmoReg_Q01","EmoReg_Q02","EmoReg_Q03","EmoReg_Q04","EmoReg_Q05","EmoReg_Q06","conf1","conf2","conf3","conf4_r","conf5","conf6","EI_sea1","EI_sea2","EI_sea3","EI_sea4","EI_oea1","EI_oea2","EI_oea3","EI_oea4","EI_uoe1","EI_uoe2","EI_uoe3","EI_uoe4","EI_roe1","EI_roe2","EI_roe3","EI_roe4","groupID","studyID","attention_check","exp_i","trial","txt","rate","exp_i_dup","img","grp_method","grp_goal","subgrp"
"A2VFCWCKU97RNK","female","28","Bachelor’s degree","Moderate","reapp_target","reapp_target","15,9,16,19,12,18,4,6,20,1,3,8,10,7,13,5,2,14,17,11","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-1","id-mspuo-2998",NA,1,"1","the environment is very h",10,1,"15","reappraisal","motivated","treatment"
"A2VFCWCKU97RNK","female","28","Bachelor’s degree","Moderate","reapp_target","reapp_target","15,9,16,19,12,18,4,6,20,1,3,8,10,7,13,5,2,14,17,11","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-1","id-mspuo-2998",NA,1,"2","i fer gun he is ready to shoot .wearing a bullet",10,1,"9","reappraisal","motivated","treatment"
"A2VFCWCKU97RNK","female","28","Bachelor’s degree","Moderate","reapp_target","reapp_target","15,9,16,19,12,18,4,6,20,1,3,8,10,7,13,5,2,14,17,11","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-1","id-mspuo-2998",NA,1,"3","it is sad to burry a loved one alone,but atleast it i",10,1,"16","reappraisal","motivated","treatment"
"A2VFCWCKU97RNK","female","28","Bachelor’s degree","Moderate","reapp_target","reapp_target","15,9,16,19,12,18,4,6,20,1,3,8,10,7,13,5,2,14,17,11","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-1","id-mspuo-2998",NA,1,"4","incase of a brutal accident stay calm and a",10,1,"19","reappraisal","motivated","treatment"
"A2VFCWCKU97RNK","female","28","Bachelor’s degree","Moderate","reapp_target","reapp_target","15,9,16,19,12,18,4,6,20,1,3,8,10,7,13,5,2,14,17,11","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-1","id-mspuo-2998",NA,1,"5","i cannot imagine one riding while being burnt",NA,1,"12","reappraisal","motivated","treatment"
"A3CT8UTPVYUL04","male","43","Master’s degree","Extremely Conservative","target","control","8,6,9,11,12,18,3,13,5,4,1,19,16,7,17,14,2,10,20,15","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-3","id-mspuo-2998",NA,1,"1","i feel the man was really got hurt and still he is aggressive",9,1,"8","observing","motivated","control"
"A3CT8UTPVYUL04","male","43","Master’s degree","Extremely Conservative","target","control","8,6,9,11,12,18,3,13,5,4,1,19,16,7,17,14,2,10,20,15","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-3","id-mspuo-2998",NA,1,"2","the person had eye injury it might due to a fight",9,1,"6","observing","motivated","control"
"A3CT8UTPVYUL04","male","43","Master’s degree","Extremely Conservative","target","control","8,6,9,11,12,18,3,13,5,4,1,19,16,7,17,14,2,10,20,15","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"id-mspuo-2998-3","id-mspuo-2998",NA,1,"3","the person is quite normal standing with a gun",NA,1,"9","observing","motivated","control"
"A311A0TCGNTFKK","male","48","Associate’s degree or some college courses","Moderate","reapp_target","reapp_target","1,3,11,15,14,16,7,20,12,18,8,4,19,2,13,9,6,5,10,17","false",NA,"completed","To some degree","To some degree","To a high degree","To a very high degree","To some degree","To a very low degree","To a high degree","To a very low degree","To some degree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree or disagree","Agree","Disagree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Somewhat agree","id-mspuo-2998-2","id-mspuo-2998",NA,1,"1","A new life being brought in to the wo",1,1,"1","reappraisal","motivated","treatment"
"A311A0TCGNTFKK","male","48","Associate’s degree or some college courses","Moderate","reapp_target","reapp_target","1,3,11,15,14,16,7,20,12,18,8,4,19,2,13,9,6,5,10,17","false",NA,"completed","To some degree","To some degree","To a high degree","To a very high degree","To some degree","To a very low degree","To a high degree","To a very low degree","To some degree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree or disagree","Agree","Disagree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Somewhat agree","id-mspuo-2998-2","id-mspuo-2998",NA,1,"2","The process of a dream.",3,1,"3","reappraisal","motivated","treatment"
