groupID,sub_id,group_cond,ind_cond,img,rate,txt
empty-50,A11FHRIUGW7NFB,control,control,1,2,This baby is a fighter and I am happy the baby is breathing well
empty-50,A32K4W6B31XWVR,control,control,1,4,The baby seems to be in distress.
empty-50,A39C60IA4WVVJP,control,control,1,NA,"Oh wow, hope he survivers feel shocked"
id-bvwuk-3000-1,A17VJGXGBNEL9E,control,control,1,7,awww the baby is so tiny  I dont even know ifshe ll make it :(
id-bvwuk-3000-1,A1RRMINTJ8BHKG,control,control,1,10,This is terrible. The baby has to be in unimagine pain. I am so sad I want to cry
id-bvwuk-3000-1,A29YZM94SCN4A6,control,control,1,6,"I hope the baby is okay, not sure if being given a bath or what."
id-bvwuk-3000-1,A3W3FYGMP7VLKZ,control,control,1,4,This baby looks in incredible pain being brought into this world under such harsh circumstances before they were ready.
id-bvwuk-3000-1,AH4F86UVP4C54,control,control,1,10,The baby looks like an early born. I hope he is not in pain
id-bvwuk-3000-1,AOSO1D81K0ET0,control,control,1,10,Oh this poor little child. My hear goes out to it
id-fjoxq-3000-5,A1JMVBYWF4R66N,control,control,1,9,"sad, horrible, hope this baby makes it."
id-fjoxq-3000-5,A363SVHBXKD0MH,control,control,1,4,"a premie baby, that's really sad,  i hope it survives."
id-fjoxq-3000-5,A3GDLR6DHXVEH6,control,control,1,4,Poor little soul.  Hope he makes it.
id-fjoxq-3000-5,A59YVWT4H3I1U,control,control,1,9,poor baby I can't imagine
id-fjoxq-3000-5,A98F21Q0J4SGL,control,control,1,2,awww sweet baby
id-ngahz-3000-7,A1HVA6N137E7XH,control,control,1,7,Newborns kinda always freak me out a bit.
id-ngahz-3000-7,A1ZC1ZWZ05XYUD,control,control,1,2,premature infant being washed
id-ngahz-3000-7,A1ZE87WEYCA44A,control,control,1,6,A helpless newborn bathing.
id-ngahz-3000-7,A2KHLJ2F58BEZK,control,control,1,5,so young and distressed
id-ngahz-3000-7,AFTSLCMJASJDR,control,control,1,1,"Sweet little baby..sick obviously, but being cared for.  Hopeful...."
id-ngahz-3000-7,ASU0JSKLWRQHZ,control,control,1,3,Feel scared but hopeful for this little one
id-uwffo-1-1,A28G4QO0DRY8OZ,control,control,1,5,She looks like she's been beaten up. How sad and horrifying!
id-uwffo-1-1,A28G4QO0DRY8OZ,control,control,1,9,She looks like she's been beaten up. How sad and horrifying!
id-uwffo-1-1,A2IN9SC9VYVJX2,control,control,1,8,"Scary, I am unexperienced with children especially newborns."
id-uwffo-1-1,A2XVL0RNQMWI17,control,control,1,6,This is a harrowing situation. I hope everyone is okay. T
id-uwffo-1-1,A2XVL0RNQMWI17,control,control,1,4,This is a harrowing situation. I hope everyone is okay. T
id-bvwuk-2999-8,A11FXG88VL23K5,reappraisal,control,1,6,Sad seeing a newborn cry li
id-bvwuk-2999-8,A1B9H14AV44C0G,reappraisal,control,1,7,"I feel sadness and sorrow looking at this image, it's just a baby."
id-eiwzx-2999-1,A1VMF8BTZ6U299,reappraisal,control,1,1,I feel warm inside that someone has a new baby.
id-eiwzx-2999-1,A3GVTW7MWUDHNU,reappraisal,control,1,2,Oh my God what is happening.  But then I realized and think awws.
id-eiwzx-2999-1,ADS2BA4JIYDKE,reappraisal,control,1,2,Beutl baby coming into the world
id-uwffo-1-3,A08218322NEN84JFHLRO8,reappraisal,control,1,6,happiness and sadness for a new life but they l
id-uwffo-1-3,A3GF4PX4V354W,reappraisal,control,1,7,Sad seeing a preme baby fighting for life. Think of my preme niece and her struggles
id-uwffo-1-3,AS4OUUE7SS7L9,reappraisal,control,1,5,"Poor baby, looks like a premie, sad for this little one but hopeful it survives"
id-uwffo-1-4,A8A40TUAXTPGN,reappraisal,control,1,2,Little baby getting his first bath.
id-uwffo-9-8,A1O81SOPKHK5RZ,reappraisal,control,1,1,aww! sweet baby!
id-uwffo-9-8,A2GXS7E934VJQ1,reappraisal,control,1,3,I have hope that the baby will live a long and fulfilling life
id-uwffo-9-8,ANB7YEFIP22DI,reappraisal,control,1,10,oh my god the baby is poor
id-bvwuk-2999-8,A30UPXL0E3RY9I,reappraisal,reapp,1,1,nice moment new life
id-bvwuk-2999-8,A372RONRIOLZM4,reappraisal,reapp,1,1,This is a sweet photo of a brand new baby
id-eiwzx-2999-1,A2QXNIG0GVVXLG,reappraisal,reapp,1,1,washing a new born baby.
id-uwffo-1-3,A2NP5W2A5EWT8V,reappraisal,reapp,1,1,a premature baby but celebrating the little life
id-uwffo-1-4,A1CYBYGWLZI29A,reappraisal,reapp,1,5,"Aww, a brand new life."
id-uwffo-1-4,A1JWKT0IS06YKL,reappraisal,reapp,1,5,"very realistic costume make up, maybe he is acting in a movie"
id-uwffo-1-4,A1JWKT0IS06YKL,reappraisal,reapp,1,2,"tiny baby is getting his first bath, how sweet."
id-uwffo-9-8,A2UVD05SNXJBTF,reappraisal,reapp,1,2,It's amazing how science has advanced to keep premature babies alive against the odds.
id-uwffo-9-8,A4FCEO6DF59YB,reappraisal,reapp,1,9,LOOKING SAD
id-bbyjt-2997-3,A1A6UVH1CCP8CD,reappraisal & motivation,control,1,2,Oh poor baby. He looks so small.
id-bbyjt-2997-3,AFTFOBESP6XUB,reappraisal & motivation,control,1,2,"Kind of gross, but it's welcoming new life into the world, so always joyous."
id-eiwzx-2998-2,A2KJJOAH2Z1D6X,reappraisal & motivation,control,1,1,It's a newborn baby getting a bath
id-eiwzx-2998-2,A49WTQG4MBT9Z,reappraisal & motivation,control,1,5,A baby was birthed and is in need of some care.
id-rppnn-2999-3,A307K1CZXGBN4L,reappraisal & motivation,control,1,5,Concern.  Sadness.
id-rppnn-2999-3,A3D7JEGMSYKCUJ,reappraisal & motivation,control,1,5,Poor baby what is going on?
id-uwffo-14-8,A14F6ZMFA960GN,reappraisal & motivation,control,1,1,So cute. A baby after being born.
id-uwffo-14-8,A1IK5L733Q9JV,reappraisal & motivation,control,1,2,I wonder if there is something wrong. Why is the baby wearing tubes?
id-uwffo-15-1,A39H3N3KXHVTJU,reappraisal & motivation,control,1,4,A premature infant getting mcare.
id-bbyjt-2997-3,A1PAR1TMKFPKQE,reappraisal & motivation,reapp_target,1,1,"Baby just born, happiness"
id-eiwzx-2998-2,A1VHQ3KL3P4T4H,reappraisal & motivation,reapp_target,1,4,Premature baby without the proper medical care
id-rppnn-2999-3,A1RKGN3VY39TM1,reappraisal & motivation,reapp_target,1,1,A newborn infant receiving care
id-rppnn-2999-3,A32NU3SVREAZXY,reappraisal & motivation,reapp_target,1,1,Aww. So cute!
id-uwffo-14-8,A2393RWZXRWLKI,reappraisal & motivation,reapp_target,1,2,Natural occurence of life and is a mircale that a baby is born
id-uwffo-14-8,A3G7QQTQIKYI2O,reappraisal & motivation,reapp_target,1,3,OMG. I feel sorry for
id-uwffo-15-1,A347R00883IQOU,reappraisal & motivation,reapp_target,1,8,Premature baby being bathed in a hospital
id-bbyjt-2996-1,A2PKNE8KM0M324,motivation,control,1,8,baby looks  be born early and does not look happy at all and very small and slimey
id-bbyjt-2996-1,A5KU3E96BTL5V,motivation,control,1,4,whoa now thats a tiny little baby takin a big ol yawn
id-bbyjt-2996-1,AOI8O750GN2HS,motivation,control,1,8,"OMG, premature baby? Poor guy! ""HILLS HAVE EYES"" vibes"
id-bvwuk-2997-8,ACRWPI9M4PQZK,motivation,control,1,4,That baby is small and need help. Hope it will be OK. Good it's getting help.
id-bvwuk-2999-2,A1MKEILXWWLBW2,motivation,control,1,8,"very sad, failed abortion"
id-bvwuk-2999-2,A3492HL94OVDR5,motivation,control,1,3,premature baby
id-bvwuk-2999-2,A360YPKITDW0PV,motivation,control,1,8,Suffering and Saving a life
id-fjoxq-2998-8,A18W4LA9HEQ0W6,motivation,control,1,2,"life and hope, the child is so young nd fragil"
id-fjoxq-2998-8,A1HK7CR71C8BCA,motivation,control,1,2,"big yawn, tiny baby"
id-fjoxq-2998-8,A3NAHN61XJ3ZAT,motivation,control,1,5,"That is demented, but I guess it is a newborn baby.  I feel hopeful, but horrified."
id-uwffo-13-5,A22RU4Z2JPRP1U,motivation,control,1,3,child
id-uwffo-13-5,A22RU4Z2JPRP1U,motivation,control,1,NA,reng
id-uwffo-13-5,A9IPAROGKKDY9,motivation,control,1,5,"I hope this baby survives, so small"
id-bbyjt-2996-1,A2R76CKAHFJ6JM,motivation,target,1,6,How horrible this is for the baby. What a horrific time.
id-bbyjt-2996-1,A3LOBI8KGKM59C,motivation,target,1,2,What a miracle. Thankgoodness for modern medicine
id-bbyjt-2996-1,A3LOBI8KGKM59C,motivation,target,1,4,Hopefully someone being taken for help they really need!
id-bbyjt-2996-1,A5P78B8P70TOJ,motivation,target,1,9,Oh no. What is going on. will the baby be fine?
id-bvwuk-2997-8,A11244HS4DZOVL,motivation,target,1,5,That baby is lucky to be alive. It looks bad but it could be worse.
id-bvwuk-2997-8,AQUOS2XZESNXB,motivation,target,1,2,so precious little one I hope he will be fine and grow up healthy
